Olá, como estás?|Hello, how are you?
O meu nome é Ana.|My name is Ana.
Eu moro em Portugal.|I live in Portugal.
Eu gosto de café.|I like coffee.
Ele é o meu amigo.|He is my friend.
Ela trabalha aqui.|She works here.
Nós somos estudantes.|We are students.
Eu tenho um gato.|I have a cat.
Hoje é segunda-feira.|Today is Monday.
Está muito calor.|It is very hot.
Eu falo português.|I speak Portuguese.
Falaste inglês?|Do you speak English?
Eu vou para casa.|I am going home.
Nós comemos arroz.|We eat rice.
O livro é novo.|The book is new.
Eu gosto de música.|I like music.
Ela é professora.|She is a teacher.
Eu bebo água.|I drink water.
Bom dia!|Good morning!
Até amanhã.|See you tomorrow.
